Name,Annual Growth Rate,Monthly Growth Rate,Weekly Growth Rate
VWAGY,6110.93,1.44,2.46
TSLA,5394.7,0.17,0.72
HMC,5031.94,-12.81,-2.12
BYDDF,2718.37,-23.66,-10.53
XPEV,2416.17,-13.36,-3.17
FUV,1118.1,-9.98,-2.47
FUJHY,731.56,-3.02,-0.2
GM,638.47,13.68,6.49
F,357.12,12.34,2.81
PSNY,255.42,4.87,1.6
VLVLY,183.2,-14.03,-1.94
STLA,165.69,-33.18,-8.64
GELYF,134.79,-4.18,0.15
HYMTF,76.5,-0.93,-1.19
NSANY,74.87,-14.39,-0.39
RNLSY,53.34,-14.89,-1.86
FSR,37.44,6.92,1.45
NKLA,33.66,-2.34,1.09
PII,29.52,-0.44,2.23
HYZN,-1.96,-17.58,-2.43
NIO,-8.69,10.05,0.07
ISUZY,-17.45,-0.96,0.74
GOEV,-21.71,-26.17,-3.83
FFIE,-27.99,-31.72,-8.86
RACE,-29.73,-2.35,1.93
DNFGF,-29.79,-29.87,-9.32
SOLO,-54.18,-35.61,-5.85
CENN,-66.98,-23.18,0.87
RIVN,-80.48,-14.37,-1.99
LCID,-87.0,-24.95,-3.72
MAHMF,-91.83,-44.4,-8.88
MBGYY,-92.23,-24.18,-2.11
MZDAY,-92.65,-12.75,-0.02
BMWYY,-93.66,-18.0,-0.57
KNDI,-97.95,-15.19,-3.67
ARGGY,-98.35,-31.5,-7.9
.DS_S,-99.31,-14.99,-5.15
LI,-99.32,44.17,17.18
EVTV,-99.98,-50.89,-13.21
GWLLY,-100.0,-39.48,-11.85
TM,-100.0,-14.07,0.36
