Name,Annual Growth Rate,Monthly Growth Rate,Weekly Growth Rate
TSLA,65.0251881661112,286.3829787234043,319.3995381062356
HYMTF,51.66071918748284,-73.21534081325424,-74.76375764313508
MAHMF,37.44641714708056,-63.53413654618474,-61.361702127659576
LI,36.296297789971106,669.491525423729,603.8759689922481
FUJHY,34.10194174757282,2170.0,2114.6341463414637
MZDAY,32.55813953488373,672.7659574468084,273.6625514403292
VLVLY,31.818176823176824,28.248588952625823,72.95238095238096
ISUZY,12.295081967213116,6076.87074829932,12511.111111111113
RACE,9.010137268602659,920.2247191011235,1110.6666666666667
BMWYY,3.2865226565462273,-9.29070929070929,-17.902350813743222
XPEV,-1.5184381778741924,1215.9420289855075,1465.5172413793105
NSANY,-3.0848329048843217,836.0824742268042,799.009900990099
TM,-3.6012229465116237,-71.20203044002527,-59.75177209685848
MBGYY,-9.558918025227015,5148.554913294798,6294.3661971831
ARGGY,-10.98290598290597,-19.36056838365897,-14.901593252108714
RNLSY,-11.340204059942572,-65.050037875334,-61.655405899571
VWAGY,-19.26092277374453,-77.79951208804341,-83.45481079710622
BYDDF,-20.37542390359809,1413.3333333333335,1197.1428571428573
PII,-20.376091536803123,-36.68061366806137,-33.722627737226276
RIVN,-21.41443726085249,168.63904415878736,199.6699698262794
HMC,-25.08884015306509,220.84805653710248,173.49397590361446
GWLLY,-27.054794520547944,-67.97178130511465,-69.9138502319417
GELYF,-29.655172413793103,-99.43079235964696,-99.48556699538666
DNFGF,-30.909090909090914,-85.94644813579248,-86.98954023514057
EVTV,-34.031413612565444,19.631093544137027,30.085959885386814
NIO,-40.47856430707876,54.94880546075085,55.74614065180102
GM,-49.830683680408846,46.2157809983897,51.33333333333333
F,-51.807228475189696,1296.9230769230767,1180.6770098730608
HYZN,-52.6950354609929,14.646464646464649,22.371967654986523
KNDI,-54.85008980012533,-90.33116855154218,-90.00000033039647
LCID,-66.33119853613907,334.4497607655503,443.71257485029946
FUV,-67.20430107526882,-94.33844636266556,-94.22318334196036
PSNY,-68.95910780669145,-43.35621064527693,-40.96228868660599
SOLO,-69.31818181818181,-73.91179428243069,-77.38480810038317
NKLA,-70.58577405857741,3262.9629629629626,3532.0
GOEV,-85.54913294797689,-57.430848570089076,-62.15089620675281
FSR,-91.33126934984521,-93.11338674275731,-92.8130439582126
CENN,-97.73090451483208,-98.78852568378919,-98.28082390531414
FFIE,-99.82751277315826,-61.130138650250906,-63.460764587525155
MULN,-99.86781893004115,-28.784313725490197,-36.59217877094972
STLA,,-6.5843621399177,1.0011123470522787
