Date,Open,High,Low,Close,Adj Close,Volume
2009-02-13,2.100000,2.250000,2.100000,2.200000,2.172789,55600
2009-02-17,2.060000,2.100000,2.000000,2.100000,2.074025,72100
2009-02-18,2.150000,2.300000,2.150000,2.300000,2.271552,36200
2009-02-19,2.250000,2.250000,2.110000,2.200000,2.172789,102400
2009-02-20,2.050000,2.050000,1.950000,2.050000,2.024644,78200
2009-02-23,2.000000,2.000000,1.850000,1.950000,1.925881,31700
2009-02-24,1.890000,1.950000,1.800000,1.950000,1.925881,15200
2009-02-25,1.950000,1.950000,1.850000,1.950000,1.925881,39900
2009-02-26,1.950000,1.970000,1.850000,1.970000,1.945634,7100
2009-02-27,2.050000,2.050000,1.810000,1.810000,1.787612,8200
2009-03-02,1.800000,1.900000,1.780000,1.870000,1.846870,39700
2009-03-03,1.910000,1.950000,1.850000,1.850000,1.827118,7100
2009-03-04,1.970000,2.080000,1.950000,2.040000,2.014768,6500
2009-03-05,1.930000,1.960000,1.870000,1.870000,1.846870,24300
2009-03-06,1.910000,2.000000,1.800000,1.950000,1.925881,46900
2009-03-09,1.810000,1.850000,1.810000,1.850000,1.827118,54700
2009-03-10,1.880000,1.940000,1.860000,1.940000,1.916005,25500
2009-03-11,1.930000,1.950000,1.930000,1.930000,1.906128,8500
2009-03-12,1.860000,1.950000,1.860000,1.900000,1.876499,22000
2009-03-13,1.950000,1.950000,1.900000,1.950000,1.925881,31800
2009-03-16,1.900000,2.000000,1.850000,1.880000,1.856747,27400
2009-03-17,1.920000,1.930000,1.830000,1.930000,1.906128,13900
2009-03-18,1.940000,2.010000,1.940000,2.000000,1.975263,36100
2009-03-19,2.000000,2.000000,1.950000,1.950000,1.925881,30400
2009-03-20,1.900000,1.900000,1.800000,1.900000,1.876499,43800
2009-03-23,2.010000,2.050000,1.970000,2.000000,1.975263,16200
2009-03-24,2.020000,2.050000,1.940000,2.020000,1.995015,14100
2009-03-25,1.970000,2.020000,1.800000,2.000000,1.975263,30400
2009-03-26,1.900000,2.000000,1.900000,1.970000,1.945634,38900
2009-03-27,1.900000,1.910000,1.850000,1.900000,1.876499,33300
2009-03-30,1.780000,1.880000,1.700000,1.880000,1.856747,46100
2009-03-31,1.890000,1.930000,1.810000,1.930000,1.906128,20200
2009-04-01,1.780000,1.890000,1.780000,1.890000,1.866623,10900
2009-04-02,1.890000,1.900000,1.810000,1.850000,1.827118,77200
2009-04-03,1.960000,2.020000,1.930000,2.010000,1.985139,101500
2009-04-06,1.970000,1.970000,1.880000,1.970000,1.945634,124200
2009-04-07,1.960000,1.960000,1.940000,1.960000,1.935757,34200
2009-04-08,1.960000,1.980000,1.950000,1.950000,1.925881,9400
2009-04-09,1.930000,2.040000,1.930000,1.940000,1.916005,21900
2009-04-13,2.000000,2.100000,1.950000,2.090000,2.064149,175200
2009-04-14,2.170000,2.240000,2.000000,2.220000,2.192542,882600
2009-04-15,2.120000,2.190000,2.000000,2.160000,2.133284,195200
2009-04-16,2.290000,2.300000,2.150000,2.300000,2.271552,170800
2009-04-17,2.400000,2.500000,2.320000,2.450000,2.419697,275300
2009-04-20,2.550000,2.550000,2.350000,2.450000,2.419697,245400
2009-04-21,2.600000,2.650000,2.450000,2.600000,2.567841,208500
2009-04-22,2.700000,2.900000,2.550000,2.670000,2.636976,399300
2009-04-23,2.800000,2.800000,2.550000,2.750000,2.715986,176700
2009-04-24,2.590000,2.650000,2.450000,2.650000,2.617223,567400
2009-04-27,2.380000,2.450000,2.320000,2.450000,2.419697,323200
2009-04-28,2.440000,2.500000,2.350000,2.500000,2.469078,127300
2009-04-29,2.530000,2.700000,2.530000,2.550000,2.518460,134000
2009-04-30,2.750000,2.800000,2.570000,2.800000,2.765368,1006400
2009-05-01,2.850000,2.900000,2.750000,2.810000,2.775244,616900
2009-05-04,3.100000,3.250000,2.950000,3.250000,3.209801,638000
2009-05-05,3.450000,3.500000,2.450000,3.480000,3.436957,552800
2009-05-06,4.250000,4.250000,3.700000,3.950000,3.901144,1009000
2009-05-07,3.650000,3.650000,3.200000,3.400000,3.357946,664200
2009-05-08,3.600000,3.650000,3.400000,3.650000,3.604854,360200
2009-05-11,3.380000,3.450000,3.250000,3.450000,3.407328,206600
2009-05-12,3.600000,3.600000,3.450000,3.450000,3.407328,188300
2009-05-13,3.450000,3.750000,3.450000,3.500000,3.456709,265600
2009-05-14,3.650000,3.650000,3.450000,3.600000,3.555473,80900
2009-05-15,3.650000,3.750000,3.500000,3.550000,3.506091,58400
2009-05-18,3.500000,3.600000,3.350000,3.550000,3.506091,113700
2009-05-19,3.600000,3.600000,3.500000,3.500000,3.456709,266200
2009-05-20,4.000000,4.000000,3.850000,3.870000,3.822133,252300
2009-05-21,3.850000,3.850000,3.550000,3.800000,3.752999,173700
2009-05-22,4.000000,4.000000,3.750000,3.900000,3.851762,276200
2009-05-26,4.550000,4.650000,4.000000,4.550000,4.493722,429900
2009-05-27,4.400000,4.500000,4.250000,4.450000,4.394959,377500
2009-05-28,4.450000,4.500000,3.450000,4.500000,4.444341,230300
2009-05-29,4.150000,5.250000,4.100000,4.510000,4.454217,4051800
2009-06-01,4.800000,4.800000,4.600000,4.650000,4.592485,1457600
2009-06-02,4.650000,4.650000,4.350000,4.350000,4.296196,850600
2009-06-03,4.370000,4.550000,4.350000,4.370000,4.315949,408300
2009-06-04,4.350000,4.400000,4.330000,4.390000,4.335701,392700
