Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.570000,49.200001,48.299999,48.799999,25.523611,377649
2000-01-04,49.000000,49.000000,47.000000,47.500000,24.843685,447410
2000-01-05,47.500000,48.380001,47.000000,47.700001,24.948286,534377
2000-01-06,48.900002,50.950001,48.500000,50.950001,26.648123,1300230
2000-01-07,51.799999,52.750000,51.450001,51.950001,27.171143,930494
2000-01-10,52.549999,52.549999,49.700001,49.910000,26.104176,571625
2000-01-11,50.500000,51.299999,49.099998,49.799999,26.046638,1473217
2000-01-12,49.029999,51.950001,48.200001,51.900002,27.144993,1178553
2000-01-13,52.000000,54.500000,51.900002,53.049999,27.746469,1279884
2000-01-14,53.049999,53.400002,52.150002,53.000000,27.720322,460719
2000-01-17,53.799999,54.000000,52.000000,53.200001,27.824926,537624
2000-01-18,53.750000,54.000000,52.549999,53.950001,28.217192,798392
2000-01-19,53.000000,54.000000,52.200001,53.000000,27.720322,687090
2000-01-20,52.599998,53.400002,51.500000,51.500000,26.935781,659265
2000-01-21,51.799999,52.000000,50.900002,52.000000,27.197296,238763
2000-01-24,52.000000,52.750000,51.049999,52.200001,27.301903,342232
2000-01-25,51.500000,52.500000,50.099998,51.799999,27.092686,977063
2000-01-26,52.900002,53.849998,52.250000,53.150002,27.798779,725595
2000-01-27,54.000000,55.400002,53.500000,54.950001,28.740223,1242374
2000-01-28,54.700001,55.000000,54.000000,54.799999,28.661766,622391
2000-01-31,54.000000,54.500000,52.849998,53.900002,28.191048,877794
2000-02-01,54.099998,54.400002,51.599998,52.200001,27.301903,666556
2000-02-02,52.500000,52.700001,47.410000,47.750000,24.974440,2081786
2000-02-03,48.500000,48.700001,44.849998,46.009998,24.064379,2548462
2000-02-04,46.980000,47.349998,46.000000,46.799999,24.477566,1134961
2000-02-07,47.889999,47.889999,46.939999,46.939999,24.550787,448788
2000-02-08,47.299999,49.000000,47.200001,47.900002,25.052893,765387
2000-02-09,48.099998,48.160000,45.099998,45.200001,23.640724,1024883
2000-02-10,45.860001,45.860001,43.299999,43.450001,22.725433,1198053
2000-02-11,43.599998,45.000000,41.900002,42.000000,21.967051,815169
2000-02-14,42.980000,43.200001,42.000000,42.790001,22.380232,649486
2000-02-15,42.610001,44.480000,42.299999,44.340000,23.190926,590958
2000-02-16,45.000000,45.000000,44.099998,44.770000,23.415825,558496
2000-02-17,44.900002,45.180000,43.500000,44.160000,23.096777,464033
2000-02-18,43.049999,45.700001,42.599998,44.200001,23.117708,1232461
2000-02-21,44.599998,45.200001,43.750000,45.130001,23.604113,393019
2000-02-22,45.790001,46.740002,44.810001,45.990002,24.053919,1065542
2000-02-23,45.980000,46.169998,43.500000,44.299999,23.170002,982697
2000-02-24,44.099998,44.150002,40.500000,41.009998,21.449253,1441721
2000-02-25,42.000000,42.299999,39.849998,40.500000,21.182510,2283356
2000-02-28,41.299999,41.400002,39.299999,39.700001,20.764091,1140857
2000-02-29,40.799999,41.799999,39.869999,41.400002,21.653231,882337
2000-03-01,42.000000,42.750000,41.500000,41.500000,21.705532,822618
2000-03-02,42.040001,42.150002,41.209999,41.500000,21.705532,516641
2000-03-03,42.099998,43.540001,41.400002,43.070000,22.526682,763516
2000-03-06,44.009998,44.500000,43.119999,44.000000,23.013092,765829
2000-03-07,44.500000,44.500000,41.099998,41.590000,21.752600,652593
2000-03-08,41.700001,41.869999,39.500000,39.500000,20.659477,698932
2000-03-09,40.000000,40.290001,38.599998,38.599998,20.188761,813149
2000-03-10,39.200001,39.599998,37.529999,38.939999,20.366587,777178
2000-03-13,39.349998,40.389999,39.009998,40.169998,21.009911,268308
2000-03-14,40.610001,41.310001,38.799999,39.990002,20.915764,479110
2000-03-15,39.750000,40.180000,38.849998,40.000000,20.920998,428153
2000-03-16,41.000000,42.400002,41.000000,41.400002,21.653231,876659
2000-03-17,43.000000,43.849998,42.500000,43.200001,22.594675,1120591
2000-03-20,43.250000,43.560001,41.750000,42.250000,22.097803,411033
2000-03-21,42.500000,42.500000,40.799999,41.000000,21.444023,323941
2000-03-22,41.200001,42.070000,40.119999,41.869999,21.899054,653609
2000-03-23,40.599998,42.299999,40.599998,41.650002,21.783989,396026
2000-03-24,41.500000,41.990002,40.349998,40.470001,21.166817,617322
2000-03-27,40.500000,41.599998,40.070000,41.599998,21.757833,432406
2000-03-28,42.000000,43.150002,41.689999,42.009998,21.972277,576426
2000-03-29,41.700001,42.490002,41.000000,41.080002,21.485861,1379240
2000-03-30,42.299999,43.009998,41.500000,43.009998,22.495300,1106696
2000-03-31,42.990002,45.380001,42.799999,45.000000,23.536118,1775483
2000-04-03,44.990002,46.790001,43.200001,46.160000,24.142832,1000366
2000-04-04,46.160000,47.450001,44.500000,47.450001,24.817530,842518
2000-04-05,47.200001,47.400002,43.099998,45.599998,23.849937,842293
2000-04-06,46.299999,46.299999,44.400002,44.630001,23.342600,384893
2000-04-07,45.599998,45.759998,43.509998,45.220001,23.651192,274144
2000-04-10,46.500000,46.599998,44.400002,46.400002,24.268353,349497
2000-04-11,46.799999,46.799999,45.400002,46.240002,24.184669,242026
2000-04-12,46.799999,46.799999,45.250000,45.840000,23.975468,315052
2000-04-13,45.150002,46.950001,45.000000,45.840000,23.975468,457971
2000-04-14,46.439999,46.439999,44.200001,45.080002,23.577957,451784
2000-04-17,43.000000,45.720001,42.799999,44.900002,23.483812,320419
2000-04-18,45.209999,45.700001,43.900002,45.000000,23.536118,527097
2000-04-19,45.500000,46.419998,44.810001,45.000000,23.536118,815610
2000-04-20,46.500000,46.500000,45.349998,46.220001,24.174212,355280
2000-04-21,46.220001,46.220001,46.220001,46.220001,24.174212,0
2000-04-24,46.220001,46.220001,46.220001,46.220001,24.174212,0
2000-04-25,48.400002,49.000000,47.599998,49.000000,25.628220,1267759
2000-04-26,49.099998,49.400002,48.099998,48.900002,25.575916,747218
2000-04-27,47.900002,49.000000,47.500000,48.349998,25.288250,507904
2000-04-28,49.000000,50.549999,48.500000,50.000000,26.151245,914555
2000-05-01,50.000000,50.000000,50.000000,50.000000,26.151245,0
2000-05-02,50.799999,51.000000,47.709999,48.299999,25.262100,771360
2000-05-03,48.619999,48.650002,47.000000,47.299999,24.739075,528150
2000-05-04,47.310001,48.880001,46.250000,48.880001,25.565462,313689
2000-05-05,48.000000,49.500000,47.799999,49.000000,25.628220,271773
2000-05-08,49.180000,49.349998,48.500000,49.139999,25.701439,130679
2000-05-09,48.880001,49.689999,48.500000,49.200001,25.732828,283354
2000-05-10,48.900002,50.299999,48.700001,49.990002,26.146015,434705
2000-05-11,49.119999,50.549999,48.630001,49.000000,25.628220,348562
2000-05-12,48.549999,50.500000,48.099998,48.970001,25.612524,362433
2000-05-15,48.000000,50.950001,48.000000,50.950001,26.648123,521618
2000-05-16,51.000000,52.500000,50.549999,51.650002,27.014236,820410
2000-05-17,51.650002,51.700001,50.500000,51.000000,26.674269,271005
2000-05-18,51.700001,52.299999,50.599998,51.049999,26.700418,468138
2000-05-19,50.000000,51.549999,49.549999,50.750000,26.543518,878540
2000-05-22,51.000000,53.000000,50.099998,51.349998,26.857332,929082
2000-05-23,52.099998,52.500000,49.299999,50.099998,26.203547,382681
2000-05-24,50.099998,51.299999,48.000000,51.000000,26.674269,1062697
2000-05-25,51.799999,53.450001,51.299999,51.500000,26.935781,543212
2000-05-26,51.200001,52.599998,50.750000,51.200001,26.778873,232434
2000-05-29,52.000000,52.200001,50.750000,51.799999,27.092686,166428
2000-05-30,51.250000,52.400002,50.750000,50.849998,26.595814,398300
2000-05-31,50.750000,51.349998,48.500000,50.500000,26.412764,616186
2000-06-01,49.000000,51.000000,48.990002,50.349998,26.334301,423093
2000-06-02,49.580002,50.799999,48.500000,49.029999,25.643908,1069879
2000-06-05,49.599998,49.849998,48.099998,48.389999,25.309168,583105
2000-06-06,48.660000,49.419998,46.849998,47.419998,24.801842,581028
2000-06-07,48.000000,49.000000,47.650002,48.700001,25.471310,362693
2000-06-08,48.020000,48.799999,47.009998,47.500000,24.843685,481929
2000-06-09,47.250000,47.400002,46.000000,46.520000,24.331114,641633
2000-06-12,46.520000,46.520000,46.520000,46.520000,24.331114,0
2000-06-13,46.939999,47.299999,46.570000,47.000000,24.582172,287369
2000-06-14,47.000000,47.419998,45.799999,45.799999,23.954538,459943
2000-06-15,45.799999,46.930000,45.119999,46.840000,24.498486,281252
2000-06-16,47.450001,47.450001,45.599998,46.000000,24.059147,324088
2000-06-19,46.500000,47.209999,46.000000,46.750000,24.451410,234891
2000-06-20,47.230000,47.250000,45.240002,45.779999,23.944082,511400
2000-06-21,45.889999,45.889999,43.950001,44.020000,23.023556,629184
2000-06-22,44.400002,44.400002,42.980000,43.470001,22.735891,593271
2000-06-23,43.099998,43.400002,42.400002,42.689999,22.327927,749665
2000-06-26,43.500000,44.830002,42.900002,44.150002,23.091549,1246483
2000-06-27,44.799999,45.700001,44.369999,45.200001,23.640724,437148
2000-06-28,45.799999,46.599998,45.500000,45.919998,24.017300,579477
2000-06-29,46.000000,46.599998,45.200001,46.400002,24.268353,2559069
2000-06-30,46.849998,47.939999,46.500000,47.599998,24.895983,952232
2000-07-03,46.400002,47.189999,46.070000,46.990002,24.976910,405950
2000-07-04,47.240002,48.290001,47.150002,48.180000,25.609440,845376
2000-07-05,48.180000,48.950001,47.799999,48.950001,26.018728,945355
2000-07-06,48.049999,49.200001,48.049999,48.730000,25.901781,348517
2000-07-07,48.590000,49.500000,47.849998,49.299999,26.204758,457599
2000-07-10,48.599998,49.730000,48.500000,49.730000,26.433327,230532
2000-07-11,49.250000,49.250000,48.049999,48.400002,25.726381,343567
2000-07-12,47.509998,48.000000,46.700001,47.599998,25.301142,417137
2000-07-13,47.599998,48.139999,47.099998,47.099998,25.035379,301466
2000-07-14,47.099998,47.099998,47.099998,47.099998,25.035379,0
2000-07-17,47.299999,47.400002,45.700001,45.799999,24.344378,263001
2000-07-18,47.299999,47.400002,44.000000,44.000000,23.387619,824703
2000-07-19,45.240002,47.939999,45.160000,47.799999,25.407459,562875
2000-07-20,47.799999,49.349998,47.110001,48.400002,25.726381,484052
2000-07-21,49.000000,49.000000,46.549999,46.900002,24.929075,449513
2000-07-24,49.000000,49.150002,46.549999,49.150002,26.125036,483447
2000-07-25,49.750000,49.779999,49.000000,49.000000,26.045301,318324
2000-07-26,49.000000,49.000000,47.799999,48.209999,25.625383,201872
2000-07-27,48.200001,48.900002,47.750000,47.950001,25.487192,278929
2000-07-28,46.500000,46.799999,44.799999,45.590000,24.232763,1474691
2000-07-31,45.950001,47.130001,45.250000,46.349998,24.636726,526533
2000-08-01,46.150002,46.720001,44.599998,45.599998,24.238079,509631
2000-08-02,46.169998,46.580002,45.500000,46.580002,24.758987,198117
2000-08-03,46.500000,46.580002,45.150002,46.000000,24.450693,337724
2000-08-04,45.990002,47.299999,45.830002,47.299999,25.141689,317489
2000-08-07,47.169998,47.290001,46.250000,46.599998,24.769615,299250
2000-08-08,46.000000,47.450001,45.889999,47.000000,24.982231,259996
2000-08-09,46.799999,47.799999,46.500000,47.150002,25.061960,382198
2000-08-10,47.000000,48.099998,47.000000,47.299999,25.141689,435337
