Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,11.100000,11.760000,9.110000,10.450000,10.450000,482300
2023-08-15,22.000000,38.778000,16.000000,37.060001,37.060001,6891900
2023-08-16,26.500000,30.549999,24.163000,29.020000,29.020000,3108600
2023-08-17,27.860001,29.360001,19.879999,20.000000,20.000000,1831500
2023-08-18,19.639999,19.677000,11.610000,15.400000,15.400000,2971300
2023-08-21,16.780001,18.889999,16.000000,17.580000,17.580000,2126500
2023-08-22,19.000000,46.980000,18.799999,36.720001,36.720001,19413700
2023-08-23,30.170000,45.000000,29.820000,37.029999,37.029999,8267500
2023-08-24,38.700001,57.799999,37.369999,49.000000,49.000000,12923500
2023-08-25,55.200001,73.900002,55.029999,68.769997,68.769997,15278100
2023-08-28,84.000000,93.000000,75.919998,82.349998,82.349998,12782400
2023-08-29,74.519997,76.930000,46.000000,46.250000,46.250000,10794700
2023-08-30,53.400002,57.500000,37.500000,41.270000,41.270000,10804800
2023-08-31,44.299999,44.400002,33.560001,34.709999,34.709999,6503500
2023-09-01,32.520000,34.340000,26.261999,29.495001,29.495001,7362900
2023-09-05,26.610001,30.620001,26.020000,26.129999,26.129999,6312400
2023-09-06,26.700001,27.200001,24.469999,24.500000,24.500000,5605300
2023-09-07,22.000000,23.002001,17.600000,17.990000,17.990000,9917400
2023-09-08,19.480000,19.490000,16.330000,17.150000,17.150000,8534000
2023-09-11,16.000000,17.049999,15.330000,16.570000,16.570000,7693900
2023-09-12,16.490000,18.330000,15.450000,17.209999,17.209999,7676600
2023-09-13,17.200001,17.480000,16.430000,17.209999,17.209999,3039300
2023-09-14,16.990000,17.240000,16.525999,16.850000,16.850000,2112700
2023-09-15,16.500000,17.879999,16.500000,17.530001,17.530001,3808300
2023-09-18,17.129999,18.450001,16.889999,17.320000,17.320000,2864000
2023-09-19,17.139999,18.100000,17.030001,17.799999,17.799999,2472400
2023-09-20,17.650000,17.840000,17.190001,17.190001,17.190001,1384200
2023-09-21,16.889999,17.153000,15.164000,15.750000,15.750000,3275300
2023-09-22,16.379999,16.400000,15.010000,15.630000,15.630000,2243800
2023-09-25,15.050000,15.210000,13.620000,14.000000,14.000000,2352600
2023-09-26,13.900000,13.980000,12.800000,12.880000,12.880000,2275500
2023-09-27,12.610000,12.740000,11.080000,11.220000,11.220000,3063000
2023-09-28,11.110000,12.890000,10.640000,12.560000,12.560000,5061100
2023-09-29,12.210000,13.610000,12.000000,12.500000,12.500000,4652600
2023-10-02,11.110000,11.794000,9.720000,9.800000,9.800000,6851900
2023-10-03,9.040000,9.640000,9.000000,9.330000,9.330000,3263800
2023-10-04,9.370000,9.370000,7.980000,8.050000,8.050000,5687600
2023-10-05,8.900000,9.300000,8.060000,8.500000,8.500000,8881800
