Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,3.675000,3.675000,3.450000,3.675000,2.831106,76800
2003-01-03,3.975000,4.025000,3.825000,3.975000,3.062217,462600
2003-01-06,4.025000,4.044500,3.825000,4.025000,3.100735,83000
2003-01-07,3.950000,3.975000,3.825000,3.950000,3.042957,87800
2003-01-08,3.775000,3.825000,3.650000,3.775000,2.908143,88400
2003-01-09,3.750000,3.775000,3.600000,3.750000,2.888884,64400
2003-01-10,3.850000,3.900000,3.750000,3.850000,2.965920,32600
2003-01-13,3.875000,3.950000,3.875000,3.875000,2.985179,33600
2003-01-14,3.875000,3.950000,3.875000,3.875000,2.985179,33600
2003-01-15,3.850000,3.925000,3.800000,3.850000,2.965920,84400
2003-01-16,4.050000,4.050000,3.900000,4.050000,3.119994,35600
2003-01-17,3.950000,4.050000,3.900000,3.950000,3.042957,72800
2003-01-21,3.900000,4.050000,3.900000,3.900000,3.004439,35000
2003-01-22,3.875000,3.999000,3.775000,3.875000,2.985179,140800
2003-01-23,3.750000,3.875000,3.690000,3.750000,2.888884,77800
2003-01-24,3.700000,3.875000,3.700000,3.700000,2.850365,30600
2003-01-27,3.675000,3.775000,3.625000,3.675000,2.831106,59800
2003-01-28,3.800000,3.825000,3.660000,3.800000,2.927402,34000
2003-01-29,4.025000,4.025000,3.800000,4.025000,3.100735,94600
2003-01-30,3.975000,4.075000,3.925000,3.975000,3.062217,184200
2003-01-31,4.125000,4.225000,3.961000,4.125000,3.177772,509800
2003-02-03,4.150000,4.276500,4.125000,4.150000,3.197031,123600
2003-02-04,3.950000,4.125000,3.925000,3.950000,3.042957,341400
2003-02-05,4.075000,4.100000,3.975000,4.075000,3.139253,44000
2003-02-06,3.950000,4.063500,3.950000,3.950000,3.042957,232400
2003-02-07,3.900000,4.125000,3.875000,3.900000,3.004439,62200
2003-02-10,3.900000,4.125000,3.875000,3.900000,3.004439,62200
2003-02-11,3.950000,4.125000,3.950000,3.950000,3.042957,76200
2003-02-12,3.750000,3.925000,3.750000,3.750000,2.888884,40800
2003-02-13,3.675000,3.800000,3.675000,3.675000,2.831106,41000
2003-02-14,3.855000,3.900000,3.700000,3.855000,2.969772,66800
2003-02-18,3.775000,3.950000,3.775000,3.775000,2.908143,55200
2003-02-19,3.800000,3.925000,3.800000,3.800000,2.927402,53800
2003-02-20,3.925000,3.950000,3.850000,3.925000,3.023698,37000
2003-02-21,3.925000,3.950000,3.850000,3.925000,3.023698,37000
2003-02-24,3.950000,4.125000,3.950000,3.950000,3.042957,41000
2003-02-25,3.850000,4.025000,3.850000,3.850000,2.965920,43200
2003-02-26,3.800000,3.875000,3.775000,3.800000,2.927402,26000
2003-02-27,3.800000,3.875000,3.775000,3.800000,2.927402,26000
2003-02-28,3.950000,4.050000,3.950000,3.950000,3.042957,64800
2003-03-03,3.950000,4.050000,3.950000,3.950000,3.042957,64800
2003-03-04,3.950000,4.050000,3.950000,3.950000,3.042957,64800
2003-03-05,3.950000,4.050000,3.950000,3.950000,3.042957,64800
2003-03-06,3.750000,3.875000,3.700000,3.750000,2.888884,65400
2003-03-07,3.600000,3.725000,3.575000,3.600000,2.773328,25800
2003-03-10,3.550000,3.725000,3.550000,3.550000,2.734810,57600
2003-03-11,3.550000,3.725000,3.550000,3.550000,2.734810,57600
2003-03-12,3.250000,3.275000,3.125000,3.250000,2.503699,792200
2003-03-13,3.200000,3.350000,3.100000,3.200000,2.465181,149000
2003-03-14,3.250000,3.350000,3.125000,3.250000,2.503699,56600
2003-03-17,3.325000,3.350000,3.091500,3.325000,2.561477,60400
2003-03-18,3.325000,3.350000,3.091500,3.325000,2.561477,60400
2003-03-19,3.425000,3.575000,3.350000,3.425000,2.638513,36800
2003-03-20,3.375000,3.475000,3.325000,3.375000,2.599995,72600
2003-03-21,3.530000,3.575000,3.400000,3.530000,2.719403,300600
2003-03-24,3.425000,3.526000,3.350000,3.425000,2.638513,488200
2003-03-25,3.450000,3.550000,3.290500,3.450000,2.657773,94800
2003-03-26,3.425000,3.525000,3.400000,3.425000,2.638513,73000
2003-03-27,3.375000,3.425000,3.225000,3.375000,2.599995,74400
2003-03-28,3.350000,3.400000,3.225000,3.350000,2.580736,101000
2003-03-31,3.125000,3.250000,3.100000,3.125000,2.407403,103800
2003-04-01,3.225000,3.225000,3.100000,3.225000,2.484440,56000
2003-04-02,3.250000,3.325000,3.225000,3.250000,2.503699,79000
2003-04-03,3.325000,3.405000,3.225000,3.325000,2.561477,59800
2003-04-04,3.425000,3.425000,3.300000,3.425000,2.638513,110000
2003-04-07,3.425000,3.425000,3.300000,3.425000,2.638513,110000
2003-04-08,3.475000,3.550000,3.425000,3.475000,2.677032,126000
2003-04-09,3.450000,3.600000,3.450000,3.450000,2.657773,74200
2003-04-10,3.375000,3.475000,3.375000,3.375000,2.599995,22600
2003-04-11,3.450000,3.525000,3.375000,3.450000,2.657773,84000
2003-04-14,3.600000,3.600000,3.485000,3.600000,2.773328,26200
2003-04-15,3.600000,3.600000,3.485000,3.600000,2.773328,26200
2003-04-16,3.550000,3.625000,3.450000,3.550000,2.734810,85400
2003-04-17,3.650000,3.675000,3.575000,3.650000,2.811846,282000
2003-04-21,3.675000,3.675000,3.550000,3.675000,2.831106,63400
2003-04-22,3.600000,3.675000,3.525000,3.600000,2.773328,151000
2003-04-23,3.800000,3.900000,3.675000,3.800000,2.927402,343000
2003-04-24,3.650000,3.700000,3.550000,3.650000,2.811846,69000
2003-04-25,3.650000,3.700000,3.550000,3.650000,2.811846,69000
2003-04-28,3.625000,3.675000,3.444500,3.625000,2.792587,100200
2003-04-29,3.475000,3.550000,3.400000,3.475000,2.677032,73000
2003-04-30,3.430000,3.650000,3.430000,3.430000,2.642365,173000
2003-05-01,3.475000,3.575000,3.450000,3.475000,2.677032,123200
2003-05-02,3.475000,3.575000,3.450000,3.475000,2.677032,123200
2003-05-05,3.525000,3.575000,3.425000,3.525000,2.715550,26400
2003-05-06,3.525000,3.575000,3.425000,3.525000,2.715550,26400
2003-05-07,3.675000,3.725000,3.575000,3.675000,2.831106,113400
2003-05-08,3.600000,3.775000,3.575000,3.600000,2.773328,119600
2003-05-09,3.725000,3.750000,3.600000,3.725000,2.869624,48000
2003-05-12,3.725000,3.750000,3.600000,3.725000,2.869624,48000
2003-05-13,3.725000,3.750000,3.600000,3.725000,2.869624,48000
2003-05-14,3.625000,3.675000,3.550000,3.625000,2.792587,94600
2003-05-15,3.525000,3.575000,3.375000,3.525000,2.715550,71600
2003-05-16,3.550000,3.625000,3.490000,3.550000,2.734810,75800
2003-05-19,3.400000,3.550000,3.350000,3.400000,2.619254,139400
2003-05-20,3.450000,3.525000,3.400000,3.450000,2.657773,70600
2003-05-21,3.525000,3.550000,3.425000,3.525000,2.715550,2085800
2003-05-22,3.525000,3.550000,3.425000,3.525000,2.715550,2085800
2003-05-23,3.625000,3.650000,3.525000,3.625000,2.792587,253200
2003-05-27,3.625000,3.650000,3.525000,3.625000,2.792587,253200
2003-05-28,3.625000,3.650000,3.525000,3.625000,2.792587,253200
2003-05-29,3.625000,3.650000,3.525000,3.625000,2.792587,253200
2003-05-30,3.575000,3.650000,3.525000,3.575000,2.754069,307000
2003-06-02,3.675000,3.775000,3.625000,3.675000,2.831106,101800
2003-06-03,3.725000,3.750000,3.606500,3.725000,2.869624,83000
2003-06-04,3.825000,3.825000,3.625000,3.825000,2.946661,52200
2003-06-05,3.725000,3.800000,3.625000,3.725000,2.869624,115400
2003-06-06,3.825000,3.825000,3.700000,3.825000,2.946661,61800
2003-06-09,3.750000,3.825000,3.700000,3.750000,2.888884,101600
2003-06-10,3.775000,3.825000,3.681000,3.775000,2.908143,117000
2003-06-11,3.775000,3.825000,3.681000,3.775000,2.908143,117000
2003-06-12,4.075000,4.100000,3.950000,4.075000,3.139253,124600
2003-06-13,4.050000,4.100000,3.950000,4.050000,3.119994,205400
2003-06-16,4.125000,4.250000,4.025000,4.125000,3.177772,131600
2003-06-17,4.250000,4.300000,4.150000,4.250000,3.274068,84600
2003-06-18,4.250000,4.325000,4.175000,4.250000,3.274068,3901600
2003-06-19,4.175000,4.250000,4.125000,4.175000,3.216290,124000
2003-06-20,4.175000,4.250000,4.125000,4.175000,3.216290,168800
2003-06-23,4.175000,4.250000,4.125000,4.175000,3.216290,168800
2003-06-24,4.075000,4.225000,3.975000,4.075000,3.139253,60800
2003-06-25,4.050000,4.100000,3.950000,4.050000,3.119994,1162600
2003-06-26,4.050000,4.100000,3.950000,4.050000,3.119994,1162600
2003-06-27,4.125000,4.200000,4.075000,4.125000,3.177772,940400
2003-06-30,4.275000,4.275000,4.125000,4.275000,3.293327,310000
2003-07-01,4.250000,4.250000,4.100000,4.250000,3.274068,1680600
